Company,Company Location,Country of Bean Origin,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
5150,U.S.A.,India,68,"3- B,S,C","milk brownie, macadamia,chewy",3.5
5150,U.S.A.,Uganda,80,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25
5150,U.S.A.,Fiji,68,"3- B,S,C","chewy, off, rubbery",3
5150,U.S.A.,Venezuela,72,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3
5150,U.S.A.,Madagascar,76,"3- B,S,C","cocoa, blackberry, full body",3.75
5150,U.S.A.,Dominican Republic,76,"3- B,S,C","cocoa, vegetal, savory",3.5
5150,U.S.A.,Tanzania,76,"3- B,S,C","rich cocoa, fatty, bready",3.25
20N | 20S,France,Venezuela,78,"2- B,S","sl. dry, fruit, cocoa, ham",3
20N | 20S,France,Venezuela,78,"2- B,S","sandy, astringent, soil, grassy",2.75
2U,Japan,Vietnam,70,"3- B,S, L","tart, sour, rancid like",2.5
A. Morin,France,Indonesia,70,"3- B,S,C","smoke dominates, hint of fruit",3.75
A. Morin,France,Peru,70,"3- B,S,C","green banana, roasty, cocoa",3.5
A. Morin,France,Bolivia,70,"4- B,S,C,L","woody, honey, leathery",2.75
A. Morin,France,Mexico,70,"4- B,S,C,L","light color, fruit, yogurt",4
A. Morin,France,Peru,63,"4- B,S,C,L","sweet, dairy, spice, cocoa",3.75
A. Morin,France,Venezuela,70,"4- B,S,C,L","alluring aroma, powdery,nutty",3.5
A. Morin,France,Sao Tome,63,"4- B,S,C,L","sweet, chocolatey, vegetal",3.75
A. Morin,France,Togo,70,"4- B,S,C,L","mild profile, chocolaty, spice",3.5
A. Morin,France,Peru,70,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5
A. Morin,France,Togo,70,"4- B,S,C,L","roasty, acidic, nutty",3
A. Morin,France,Togo,70,"4- B,S,C,L","burnt wood, earthy, choco",2.75
A. Morin,France,Peru,70,"4- B,S,C,L","delicate, hazelnut, brownie",4
A. Morin,France,Venezuela,70,"4- B,S,C,L","astringent, nutty, chocolatey",3.75
A. Morin,France,Cuba,70,"4- B,S,C,L","sliglty dry, papaya",3.5
A. Morin,France,Venezuela,70,"4- B,S,C,L","nutty, mild choco, roasty",3.5
A. Morin,France,Venezuela,70,"4- B,S,C,L","harsh, leather, earthy",2.75
A. Morin,France,Venezuela,70,"4- B,S,C,L","oily, nut, caramel, raspberry",4
A. Morin,France,Peru,63,"3- B,S,C","sweet, cocoa, tangerine",4
A. Morin,France,Ecuador,70,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75
A. Morin,France,Peru,70,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5
A. Morin,France,Brazil,70,"4- B,S,C,L",mild tobacco,3.25
A. Morin,France,Papua New Guinea,70,"4- B,S,C,L","mild fruit, strong smoke",3.25
A. Morin,France,Peru,70,"4- B,S,C,L","green, nutty, cocoa",3.25
A. Morin,France,Madagascar,70,"4- B,S,C,L","sticky, red fruit, sour",3
A. Morin,France,Burma,70,"4- B,S,C,L","sticky, smokey, grass",3
A. Morin,France,Panama,70,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75
A. Morin,France,Colombia,70,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75
A. Morin,France,Peru,63,"4- B,S,C,L","fruity, melon, roasty",3.75
A. Morin,France,Bolivia,70,"4- B,S,C,L","vegetal, nutty",3.5
Acalli,U.S.A.,Peru,70,"2- B,S","hot cocoa, rich, molasses",3.5
Acalli,U.S.A.,Mexico,74,"2- B,S","herbal, molasses, hammy",3.25
Acalli,U.S.A.,Peru,70,"2- B,S",yellow fruit,3.75
Acalli,U.S.A.,Peru,70,"2- B,S","intense, nutty, cherry, cocoa",3.75
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,88,"3- B,S,C","orange, floral, lemon",3.5
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,72,"3- B,S,C",cocoa and powerful tang,3.5
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,80,"3- B,S,C",spicy and candy-like,3.25
Adi aka Fijiana (Easy In Ltd),Fiji,Fiji,60,"3- B,S,C","sweet, sublte strawberry",2.75
Aelan,Vanuatu,Vanuatu,70,"2- B,S","sandy, woody, spicy, sweet",3
Aelan,Vanuatu,Vanuatu,70,"2- B,S","basic, sweet, cocoa, woody",2.75
Aelan,Vanuatu,Vanuatu,70,"2- B,S","sweet, cocoa, rubbery",2.75
Aelan,Vanuatu,Vanuatu,70,"2- B,S","unrefined, sweet, metallic",2.5
Aequare (Gianduja),Ecuador,Ecuador,70,"4- B,S,C,V","roasty, nutty, coffee",3
Aequare (Gianduja),Ecuador,Ecuador,55,"4- B,S,C,V","sandy, sweet, banana cream",2.75
Ah Cacao,Mexico,Mexico,70,"3- B,S,C","gritty, spice, cocoa",3
Akesson's (Pralus),U.K.,Indonesia,75,"4- B,S,C,L","hay, nut, berry",3.75
Akesson's (Pralus),U.K.,Madagascar,75,"4- B,S,C,L","strong pepper, musty",2.75
Akesson's (Pralus),U.K.,Brazil,75,"4- B,S,C,L","fatty, intense, woody",2.75
Alain Ducasse,France,Mexico,75,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5
Alain Ducasse,France,Madagascar,75,"5-B,S,C,V,Sa","citrus, fatty, dairy",3
Alain Ducasse,France,Trinidad,65,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75
Alain Ducasse,France,Vietnam,75,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75
Alain Ducasse,France,Venezuela,75,"5- B,S,C,V,L","sandy, dirt, ashey",2.5
Alain Ducasse,France,Peru,75,"5- B,S,C,V,L","cardboard, dirt, roasty",2.5
Alexandre,Netherlands,Ecuador,70,"3- B,S,C","sandy, green, floral",3.5
Alexandre,Netherlands,Nicaragua,70,"3- B,S,C","sandy, sweet, nibby",3.5
Alexandre,Netherlands,Tanzania,70,"3- B,S,C","sandy, melon, banana",3.5
Alexandre,Netherlands,Vietnam,70,"3- B,S,C","sandy, sweet, roasty",3.5
Altus aka Cao Artisan,U.S.A.,Dominican Republic,70,"3- B,S,C","sweet, coarse, nutty",3
Altus aka Cao Artisan,U.S.A.,Peru,60,"3- B,S,C","dry, sweet, caramel",3
Altus aka Cao Artisan,U.S.A.,Nicaragua,60,"3- B,S,C","powdery, sweet, molasses",2.75
Altus aka Cao Artisan,U.S.A.,Ecuador,60,"3- B,S,C","sandy, nutty, earthy, roasty",2.75
Altus aka Cao Artisan,U.S.A.,Bolivia,60,"3- B,S,C","sandy, sweet, pungent",2.5
Altus aka Cao Artisan,U.S.A.,Peru,60,"3- B,S,C","sandy, sweet, sour, off",2.5
Altus aka Cao Artisan,U.S.A.,Bolivia,80,"4- B,S,C,L","gritty, berry, mild bitter",3.25
Altus aka Cao Artisan,U.S.A.,Peru,60,"4- B,S,C,L","gritty, too sweet, fruit",3.25
Altus aka Cao Artisan,U.S.A.,Dominican Republic,60,"4- B,S,C,L","sandy, sweet, dairy, spice",3
Altus aka Cao Artisan,U.S.A.,Bolivia,60,"4- B,S,C,L","grit, sweet, caramel, fruit",3
Altus aka Cao Artisan,U.S.A.,Venezuela,60,"4- B,S,C,L","sweet, moldy, off",2.5
Amano,U.S.A.,Venezuela,70,"4- B,S,C,V","nutty, melon, faint vanilla",3
Amano,U.S.A.,Papua New Guinea,70,"4- B,S,C,V","tart, lemon, smoke",4
Amano,U.S.A.,Ecuador,70,"4- B,S,C,V","strong spice, intense pepper",4
Amano,U.S.A.,Dominican Republic,70,"4- B,S,C,V","orange, cinamon",3.75
Amano,U.S.A.,Venezuela,70,"4- B,S,C,V","woody, red berry, sour",3
Amano,U.S.A.,Venezuela,70,"4- B,S,C,V","hot spice, roasty",3
Amano,U.S.A.,Indonesia,70,"4- B,S,C,V","sticky, nutty, high acidity",2.75
Amano,U.S.A.,Venezuela,70,"4- B,S,C,V","spicy, strawberry",3.75
Amano,U.S.A.,Madagascar,70,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5
Amatller (Simon Coll),Spain,Ghana,70,"2- B,S","dry, chalky, fudge-like",3
Amatller (Simon Coll),Spain,Ghana,85,"2- B,S","roasty,oddly sweet,marshmallow",3
Amatller (Simon Coll),Spain,Ecuador,70,"2- B,S","waxy mouthfeel, spicy",2.75
Amatller (Simon Coll),Spain,Ecuador,85,"2- B,S","fatty, mushroom, off notes",2.75
Amazing Cacao,Russia,Peru,70, ,"few grits, blackcherry, licorice",3.5
Amazing Cacao,Russia,Peru,70, ,"raisins, pungent",3
Amazona,Peru,Peru,73,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5
Amazona,Peru,Peru,72,"3- B,S,C","oily, vanilla, melon, cocoa",3.25
Ambrosia,Canada,Peru,68,"2- B,S","rich, sour, mild smoke",3.5
